timestamp,mode,gps_lat,gps_lon,gps_alt,ekf_lat,ekf_lon,ekf_alt,uncertainty,step_count,pressure_hpa
2026-05-01 15:59:23.547,GPS LOCK,52.1983096,0.1204681,62.099998474121094,52.19830622615928,0.12047960087243398,-16.094394476031727,0.7254214391181919,0,1015.349765625
2026-05-01 15:59:24.683,GPS LOCK,52.1983096,0.1204681,62.099998474121094,52.19830622441369,0.12047959723978859,-16.894913782966288,0.7937316576631893,0,1015.3678125
2026-05-01 15:59:25.799,GPS LOCK,52.1983096,0.1204681,62.099998474121094,52.198306222834375,0.12047959395395659,-17.17359435897185,0.8894336085175536,0,1015.37171875
2026-05-01 15:59:26.933,GPS DEGRADED,52.1983096,0.1204681,62.099998474121094,52.19830622140241,0.12047959098578893,-17.30072222242692,1.0002528881757906,0,1015.360703125
2026-05-01 15:59:28.044,GPS DEGRADED,52.1983096,0.1204681,62.099998474121094,52.19830622010785,0.12047958829971796,-17.372557065606287,1.1183774074090067,0,1015.37171875
2026-05-01 15:59:29.160,GPS DEGRADED,52.1983096,0.1204681,62.099998474121094,52.19830621893845,0.12047958586772467,-17.4259667249006,1.2392060018487225,0,1015.38046875
2026-05-01 15:59:30.283,GPS LOCK,52.1983111,0.1204669,62.29999923706055,52.19830615319247,0.12047907434585182,-17.48103069766198,1.3059703239511713,0,1015.381015625
2026-05-01 15:59:31.397,GPS LOCK,52.1983111,0.1204669,62.29999923706055,52.19830613574653,0.12047903797597333,-17.52748363176121,1.420313510330689,0,1015.390234375
2026-05-01 15:59:32.488,GPS LOCK,52.1983112,0.1204661,62.29999923706055,52.198306009158685,0.12047843168161237,-17.43360418178698,1.4443259127067831,0,1015.59265625
2026-05-01 15:59:33.595,GPS LOCK,52.1983112,0.1204661,62.29999923706055,52.198305972167155,0.12047838204221906,-17.58161455266189,1.5428430501663022,0,1015.430625
2026-05-01 15:59:34.709,GPS LOCK,52.1983112,0.1204661,62.29999923706055,52.1983059489424,0.12047831573043247,-17.62345270435889,1.6451071701065256,0,1015.3796875
2026-05-01 15:59:35.894,GPS DEGRADED,52.1983112,0.1204661,62.29999923706055,52.198305933801265,0.12047825088681233,-17.635429237475517,1.7446525258078518,0,1015.3815625
